date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2018-03-01,3.20436545,87.20196257,NA,NA,NA,1584406,274879,2018,3,1,pre_covid,0.17349025439186674,17.349025439186676,3.20436545,1.584406,274.879,0.8912784961436945,-0.007986332470507713,0.8153855065345633,-0.5456582931766801,high,high,train
2018-04-01,3.20647151,85.23803395,NA,NA,NA,1544248,291119,2018,4,2,pre_covid,0.1885182949888878,18.85182949888878,3.20647151,1.544248,291.119,0.8254504389325987,0.11713193701810895,0.6600207362284128,-0.5454436153186815,high,high,train
2018-05-01,3.4831848500000002,82.56325906,NA,NA,NA,1470891,264802,2018,5,2,pre_covid,0.18002829577446594,18.002829577446594,3.4831848500000002,1.470891,264.802,0.7052017016241084,0.046447139302115,0.44842150488490834,-0.5172372835376083,medium,medium,train
2018-06-01,3.55849021,85.46062713,NA,NA,NA,1544679,242118,2018,6,2,pre_covid,0.15674324568405473,15.674324568405474,3.55849021,1.544679,242.118,0.8261569455479177,-0.1474161360503294,0.6776298987663141,-0.5095611520975659,high,high,train
2018-07-01,3.40593015,92.38596414,NA,NA,NA,1732896,361019,2018,7,3,pre_covid,0.20833275626465755,20.833275626465756,3.40593015,1.732896,361.019,1.1346872369992056,0.28210028998921743,1.2254875871233022,-0.5251121178330829,high,high,train
2018-08-01,3.48967601,91.52662436,NA,NA,NA,1683122,380108,2018,8,3,pre_covid,0.2258350850383989,22.583508503839887,3.48967601,1.683122,380.108,1.0530963779020124,0.42781862725704617,1.1575059272121402,-0.5165756175239495,high,high,train
2018-09-01,3.26595709,85.33643061,NA,NA,NA,1415149,239824,2018,9,3,pre_covid,0.16946908064097843,16.946908064097844,3.26595709,1.415149,239.824,0.6138279388605021,-0.04146523464514829,0.6678048146944576,-0.5393800478532691,high,high,train
2018-10-01,3.20025075,86.36776498,NA,NA,NA,1467380,247664,2018,10,4,pre_covid,0.16877972985865966,16.877972985865966,3.20025075,1.46738,247.664,0.6994463774329596,-0.04720453088922722,0.7493928244989533,-0.5460777185407756,high,high,train
2018-11-01,3.14124728,84.94951897,NA,NA,NA,1406985,220053,2018,11,4,pre_covid,0.15640038806383863,15.640038806383863,3.14124728,1.406985,220.053,0.6004452938315817,-0.1502706500400592,0.6371965545646292,-0.5520921428943488,high,medium,train
2018-12-01,3.22542619,80.74555579,1456.21248964,26941.73821809,3.33013476,1603217,238194,2018,12,4,pre_covid,0.14857252636417903,14.857252636417902,3.22542619,1.603217,238.194,0.9221139855654267,-0.2154427197676173,0.3046245011891796,-0.5435115003260177,medium,medium,train
2019-01-01,3.42031923,84.71312863,NA,NA,NA,1624593,320581,2019,1,1,pre_covid,0.19733003896976042,19.733003896976044,3.42031923,1.624593,320.581,0.9571540909228744,0.19049547040396242,0.6184959100999171,-0.5236453899749158,high,medium,train
2019-02-01,3.46075053,88.48043393,NA,NA,NA,1499051,339550,2019,2,1,pre_covid,0.22650997197560324,22.650997197560326,3.46075053,1.499051,339.55,0.751362319460267,0.4334375025281324,0.9165243194051609,-0.5195240900688828,high,high,train
2019-03-01,3.13840803,84.31584077,NA,NA,NA,1564664,300209,2019,3,1,pre_covid,0.19186803045254444,19.186803045254443,3.13840803,1.564664,300.209,0.8589168868638137,0.14502067618883263,0.5870667957799054,-0.5523815573024486,high,medium,train
2019-04-01,3.22580519,85.42491032,NA,NA,NA,1596724,302098,2019,4,2,pre_covid,0.18919863420353172,18.919863420353174,3.22580519,1.596724,302.098,0.9114704879940425,0.12279620606582266,0.6748043714405194,-0.5434728675671308,high,high,train
2019-05-01,3.53097759,81.99167469,NA,NA,NA,1487791,283445,2019,5,2,pre_covid,0.1905139902042693,19.051399020426928,3.53097759,1.487791,283.445,0.7329046292317463,0.1337474052931108,0.40320393768247353,-0.5123656070179055,medium,medium,train
2019-06-01,3.62905843,86.14354211,NA,NA,NA,1551847,266107,2019,6,2,pre_covid,0.17147760056242659,17.14776005624266,3.62905843,1.551847,266.107,0.8379069209971217,-0.024742992302069992,0.7316547385317879,-0.5023678934475863,high,high,train
2019-07-01,3.43946386,93.90137844,NA,NA,NA,1802593,389503,2019,7,3,pre_covid,0.21607928134637158,21.60792813463716,3.43946386,1.802593,389.503,1.2489364053701837,0.34659517916102006,1.3453707601879912,-0.5216939127327783,high,high,train
2019-08-01,3.56279607,92.44163528,NA,NA,NA,1736102,397070,2019,8,3,pre_covid,0.22871352028855446,22.871352028855448,3.56279607,1.736102,397.07,1.1399425971122283,0.45178348382030886,1.2298916850068504,-0.5091222411445817,high,high,train
2019-09-01,3.29870521,87.13118264,NA,NA,NA,1463543,248568,2019,9,3,pre_covid,0.16983990220991116,16.983990220991117,3.29870521,1.463543,248.568,0.6931566654074858,-0.03837790248801308,0.8097861647587224,-0.5360419206132656,high,high,train
2019-10-01,3.26773754,86.92346615,NA,NA,NA,1530479,258611,2019,10,4,pre_covid,0.16897389640759528,16.897389640759528,3.26773754,1.530479,258.611,0.8028799294515594,-0.045587967343330454,0.7933538848739009,-0.539198560529891,high,high,train
2019-11-01,3.12624712,88.82490473,NA,NA,NA,1533668,248636,2019,11,4,pre_covid,0.1621185289123852,16.21185289123852,3.12624712,1.533668,248.636,0.808107422714326,-0.1026633866018611,0.9437751197520571,-0.5536211602150504,high,high,train
2019-12-01,3.12875261,82.98612626,1448.79934364,27688.50119434,3.35528749,1724961,272742,2019,12,4,pre_covid,0.15811487911900618,15.811487911900619,3.12875261,1.724961,272.742,1.121679974835501,-0.13599639036586067,0.48187417965574947,-0.5533657670987874,medium,medium,train
2020-01-01,3.49179666,82.95028855,NA,NA,NA,1688102,329047,2020,1,1,pre_covid,0.19492127845355317,19.492127845355316,3.49179666,1.688102,329.047,1.0612597258005945,0.17044096326747651,0.4790390880308563,-0.5163594524576338,medium,medium,train
2020-02-01,4.04788206,49.05792106,NA,NA,NA,732966,6222,2020,2,1,covid_shock,0.008488797570419364,0.8488797570419364,4.04788206,0.732966,6.222,-0.5044245028058396,-1.3817314063753852,-2.202158098359493,-0.45967577652422653,low,low,train
2020-03-01,5.82018094,40.162244629999996,NA,NA,NA,240001,1488,2020,3,1,covid_shock,0.006199974166774305,0.6199974166774305,5.82018094,0.240001,1.488,-1.312505787308749,-1.400787358585541,-2.905887710113297,-0.27901932452771544,low,low,train
2020-04-01,39.1238523,40.43375004,NA,NA,NA,750,18,2020,4,2,covid_shock,0.024,2.4,33.8316581425,7.5e-4,0.018,-1.7046923632291602,-1.2525904985406369,-2.8844091414769646,2.5762858069548513,low,low,train
2020-05-01,51.88531995,59.25552389,NA,NA,NA,880,23,2020,5,2,covid_shock,0.026136363636363635,2.6136363636363633,33.8316581425,8.8e-4,0.023,-1.7044792637860247,-1.2348038736340463,-1.3954341649019228,2.5762858069548513,low,low,train
2020-06-01,55.33914769,57.04914877,NA,NA,NA,2171,118,2020,6,2,covid_shock,0.05435283279594657,5.435283279594657,33.8316581425,0.002171,0.118,-1.7023630223930388,-0.9998833083392099,-1.569978677486094,2.5762858069548513,low,low,train
2020-07-01,52.7038721,66.3914873,NA,NA,NA,6843,958,2020,7,3,covid_shock,0.13999707730527547,13.999707730527547,33.8316581425,0.006843,0.958,-1.6947045562520398,-0.28683894334120047,-0.8309139960845137,2.5762858069548513,low,low,train
2020-08-01,47.51534443,64.75495642,NA,NA,NA,8912,2163,2020,8,3,covid_shock,0.2427064631956912,24.27064631956912,33.8316581425,0.008912,2.163,-1.6913129966532112,0.5682838878677273,-0.9603786017126557,2.5762858069548513,low,low,train
2020-09-01,33.89752066,63.12299737,NA,NA,NA,9500,2422,2020,9,3,covid_shock,0.25494736842105264,25.494736842105265,33.8316581425,0.0095,2.422,-1.6903491314796437,0.6701974320109992,-1.0894815336472659,2.5762858069548513,low,low,train
2020-10-01,27.46355685,57.59082346,NA,NA,NA,13399,3169,2020,10,4,covid_shock,0.2365101873274125,23.65101873274125,27.46355685,0.013399,3.169,-1.683957787412059,0.5166958375887851,-1.5271272403536664,1.9271635858442417,low,low,train
2020-11-01,23.07268519,54.16829902,NA,NA,NA,14749,4007,2020,11,4,covid_shock,0.27167943589395893,27.167943589395893,23.07268519,0.014749,4.007,-1.6817448316564194,0.8095028400355017,-1.797880320721621,1.4795871052521923,low,low,train
2020-12-01,20.43128984,62.04792085,1761.7722066,4830.01478136,4.2866862,24170,7657,2020,12,4,covid_shock,0.3167976830781961,31.67976830781961,20.43128984,0.02417,7.657,-1.6663016789350256,1.185141764724753,-1.1745299487935026,1.2103406944825357,low,low,train
2021-01-01,23.05956404,44.31327241,NA,NA,NA,23366,6599,2021,1,1,covid_shock,0.28241889925532826,28.241889925532824,23.05956404,0.023366,6.599,-1.6676196170294955,0.8989158984003619,-2.5775033324905756,1.4782496218108474,low,low,train
2021-02-01,26.21096654,44.1696703,NA,NA,NA,18141,4498,2021,2,1,covid_shock,0.2479466402072653,24.794664020726533,26.21096654,0.018141,4.498,-1.676184575417064,0.6119117896736453,-2.5888635767522175,1.7994827957904729,low,low,train
2021-03-01,27.45040486,51.42837194,NA,NA,NA,27202,8892,2021,3,1,covid_shock,0.3268877288434674,32.68877288434674,27.45040486,0.027202,8.892,-1.6613315442305072,1.2691479967455754,-2.0146336879798468,1.9258229587768174,low,low,train
2021-04-01,28.88426966,52.70180653,NA,NA,NA,25737,9056,2021,4,2,covid_shock,0.35186696196137857,35.18669619613786,28.88426966,0.025737,9.056,-1.6637330110319977,1.4771164541561383,-1.9138933298219947,2.071981674066807,low,low,train
2021-05-01,28.22909473,52.93948793,NA,NA,NA,14190,7388,2021,5,2,covid_shock,0.5206483439041578,52.06483439041578,28.22909473,0.01419,7.388,-1.6826611592619027,2.882331877566948,-1.8950905506675038,2.0051974653610705,low,low,train
2021-06-01,33.75115951,54.64458579,NA,NA,NA,10029,6983,2021,6,2,covid_shock,0.696280785721408,69.6280785721408,33.75115951,0.010029,6.983,-1.68948198066873,4.34458685647554,-1.7602016679094283,2.568080307587826,low,low,train
2021-07-01,29.33472068,56.08845627,NA,NA,NA,18517,12669,2021,7,3,covid_shock,0.6841821029324404,68.41821029324404,29.33472068,0.018517,12.669,-1.6755682262584561,4.243857407158814,-1.6459782673272672,2.11789767840994,low,low,train
2021-08-01,26.57441124,56.07651831,NA,NA,NA,15887,8907,2021,8,3,covid_shock,0.5606470699313905,56.06470699313905,26.57441124,0.015887,8.907,-1.6798793919157393,3.2153474393740327,-1.646922669478362,1.8365299500486396,low,low,train
2021-09-01,24.58633022,65.10329205,NA,NA,NA,19009,8952,2021,9,3,covid_shock,0.47093482034825607,47.093482034825605,24.58633022,0.019009,8.952,-1.674761726827512,2.4684342708005023,-0.9328220578580235,1.6338780906992703,low,low,train
2021-10-01,25.03605994,64.36182587,NA,NA,NA,24006,6065,2021,10,4,covid_shock,0.2526451720403233,25.264517204032327,25.03605994,0.024006,6.065,-1.6665705120786736,0.6510301410178598,-0.9914788346738107,1.679720570480437,low,low,train
2021-11-01,16.08366534,78.01185369,NA,NA,NA,41179,3479,2021,11,4,covid_shock,0.08448481021880085,8.448481021880085,16.08366534,0.041179,3.479,-1.6384200756404508,-0.7490148836049225,0.08836358695496438,0.767172543982375,medium,medium,train
2021-12-01,13.19731529,74.31743125,5737.25018756,1893.63105965,22.41620607,92796,4764,2021,12,4,covid_shock,0.05133841975947239,5.133841975947239,13.19731529,0.092796,4.764,-1.553808122130188,-1.0249802689318195,-0.20389911951981898,0.4729570676102677,low,medium,train
2022-01-01,18.81575577,57.53170374,NA,NA,NA,57174,4361,2022,1,1,recovery,0.076275929618358,7.627592961835799,18.81575577,0.057174,4.361,-1.6122006480023345,-0.8173591849484841,-1.5318041525514046,1.0456638126883748,low,low,train
2022-02-01,16.87029768,62.67308531,NA,NA,NA,67765,3823,2022,2,1,recovery,0.05641555375193684,5.6415553751936836,16.87029768,0.067765,3.823,-1.5948396002927197,-0.9827098069246233,-1.1250737049451551,0.84735665354414,low,low,train
